Date,Open,High,Low,Close,Volume,Ticker
2025-03-04,288.87,301.96,276.67,294.15,1285797,NASDAQ:DUOL
2025-03-05,293.11,295.85,284.99,292.74,840489,NASDAQ:DUOL
2025-03-06,282.8,286.68,268.11,272.77,1048889,NASDAQ:DUOL
2025-03-07,271.45,296.9,268.03,295.56,1586732,NASDAQ:DUOL
2025-03-10,286.55,289,263.68,277.18,1706545,NASDAQ:DUOL
2025-03-11,277.45,282.22,269.45,274.91,1046628,NASDAQ:DUOL
2025-03-12,294.66,295.5,280.22,291.02,957535,NASDAQ:DUOL
2025-03-13,288.62,288.9,269.77,272.49,1035367,NASDAQ:DUOL
2025-03-14,280.5,286.74,280.1,283.54,809141,NASDAQ:DUOL
2025-03-17,286.79,301.86,285,294.18,919388,NASDAQ:DUOL
2025-03-18,294.91,304.66,283.87,288.81,650131,NASDAQ:DUOL
2025-03-19,289.94,304.62,287.14,301.12,673461,NASDAQ:DUOL
2025-03-20,296.65,314.82,293.29,306.17,606830,NASDAQ:DUOL
2025-03-21,300.7,312,294.82,309.3,869210,NASDAQ:DUOL
2025-03-24,319.16,331.73,315.26,330,1033430,NASDAQ:DUOL
2025-03-25,333.15,341.09,327.79,340.5,639836,NASDAQ:DUOL
2025-03-26,340,341.75,323.43,331.22,1096008,NASDAQ:DUOL
2025-03-27,330.63,340.36,324.2,332.94,695739,NASDAQ:DUOL
2025-03-28,330.23,330.23,307.4,315,888536,NASDAQ:DUOL
2025-03-31,307.53,317.35,298.7,310.54,778449,NASDAQ:DUOL
2025-04-01,310.86,328.27,307,327.38,668049,NASDAQ:DUOL
2025-04-02,318.56,342.28,317.52,337.56,545046,NASDAQ:DUOL
2025-04-03,315.56,318,302.01,313.9,946107,NASDAQ:DUOL
2025-04-04,295.03,300,275,292.88,1599341,NASDAQ:DUOL
2025-04-07,285.31,319.12,274.97,296.51,1475774,NASDAQ:DUOL
2025-04-08,317.81,319.95,288.77,293.27,922333,NASDAQ:DUOL
2025-04-09,296.3,338.95,289.31,337.4,1298728,NASDAQ:DUOL
2025-04-10,324.04,329.71,309.42,316.94,653645,NASDAQ:DUOL
2025-04-11,316.94,333.75,316,329.35,866883,NASDAQ:DUOL
2025-04-14,338.94,340.14,318.9,326.67,612850,NASDAQ:DUOL
2025-04-15,327.21,331.82,324.01,325.17,437356,NASDAQ:DUOL
2025-04-16,320.53,332.73,318,326.4,569775,NASDAQ:DUOL
2025-04-17,329.27,332.91,320.54,326.5,523586,NASDAQ:DUOL
2025-04-21,324.79,326.3,308.57,316.07,506875,NASDAQ:DUOL
2025-04-22,322.5,337.8,321.88,336.34,592167,NASDAQ:DUOL
2025-04-23,364.45,378.52,362.14,370,1104450,NASDAQ:DUOL
2025-04-24,370,381.18,366.98,375.02,620715,NASDAQ:DUOL
2025-04-25,377.68,386.37,362.9,381.83,1133589,NASDAQ:DUOL
2025-04-28,383.79,389.95,374.35,384.34,614937,NASDAQ:DUOL
2025-04-29,383.21,396.86,372.69,385.13,1410539,NASDAQ:DUOL
2025-04-30,371.31,390.41,371.31,389.48,967240,NASDAQ:DUOL
2025-05-01,396.18,406,390,400,1428951,NASDAQ:DUOL
2025-05-02,436.93,487,433,486.42,3054911,NASDAQ:DUOL
2025-05-05,480.66,504.31,475.53,494.13,1869078,NASDAQ:DUOL
2025-05-06,480.65,493.63,473.52,490.55,1493472,NASDAQ:DUOL
2025-05-07,491.31,504.5,491.06,495.56,1054317,NASDAQ:DUOL
2025-05-08,505.07,509.01,492.75,503.57,744738,NASDAQ:DUOL
2025-05-09,505,513.87,500.26,512.75,604433,NASDAQ:DUOL
2025-05-12,532.72,533.26,503,517.83,949625,NASDAQ:DUOL
2025-05-13,519.36,536.87,514.8,531.46,823868,NASDAQ:DUOL
2025-05-14,536.15,544.93,532.56,540.68,841441,NASDAQ:DUOL
2025-05-15,536,541.46,527,530.52,751990,NASDAQ:DUOL
2025-05-16,525,536,522.26,529.05,698168,NASDAQ:DUOL
2025-05-19,517.79,531.02,515.2,520.23,733406,NASDAQ:DUOL
2025-05-20,517.58,526.92,514.04,525.73,764504,NASDAQ:DUOL
2025-05-21,522.77,531.94,510.72,514.3,841091,NASDAQ:DUOL
2025-05-22,511.11,526.3,510.98,517.8,537920,NASDAQ:DUOL
2025-05-23,512.31,524.42,510,520.21,459664,NASDAQ:DUOL
2025-05-27,528.02,529.77,512.1,525,524391,NASDAQ:DUOL
2025-05-28,524.42,530,521.31,524.4,432691,NASDAQ:DUOL
2025-05-29,530.47,531.69,512.54,513.39,619814,NASDAQ:DUOL
2025-05-30,506.76,521.61,496.26,519.61,1136569,NASDAQ:DUOL
2025-06-02,519.76,528.07,513.21,526.85,680506,NASDAQ:DUOL
